name,faction,tags
Aesop,Allied,"Medic,Inspiring"
Anora,Allied,"Divine Blood,Inspiring,Medic"
Apasia,Allied,"Terrorizer,Vanguard"
Astra,Allied,"Mage,Cunning,Unbreakable Pact"
Boreas,Allied,"Inspiring,Relentless"
Brax,Allied,"Rallier,Relentless,Bulwark"
Bront,Allied,"Engineer,Warden"
Corinna,Allied,"Headhunter,Zealot,Unbreakable Pact"
Darien,Allied,"Inspiring,Ironclad"
Darok,Allied,"Relentless,Veteran,Fanatic"
Dedal,Allied,"Engineer,Siege Breaker,Unbreakable Pact"
Delfin,Allied,"Cunning,Warden"
Delg,Allied,"Brutal,Siege Breaker"
Egan,Allied,"Warden,Ironclad"
Epikur,Allied,"Tactician,Cunning"
Falana,Allied,"Inspiring,Rallier"
Grimhilda Stoneforge,Allied,"Veteran,Bulwark,Ironclad"
Commander Hileas,Allied,"Tactician,Veteran,Rallier"
Hippolyta,Allied,"Warden,Veteran"
Hukar,Allied,"Vanguard,Relentless"
Iolaah,Allied,"Mage,Medic,Unbreakable Pact"
Kalistor,Allied,"Divine Blood,Ironclad,Veteran,Unbreakable Pact"
Loopywoopy,Allied,"Brutal,Fanatic"
Loreus,Allied,"Inspiring,Rallier,Unbreakable Pact"
Lyra,Allied,"Fanatic,Zealot,Unbreakable Pact"
Makhaila,Allied,"Tactician,Warden"
Melania,Allied,"Medic,Warden,Unbreakable Pact"
Moxena,Allied,"Cunning,Terrorizer,Unbreakable Pact"
Nessa,Allied,"Vanguard,Rallier"
Patrea,Allied,"Headhunter,Vanguard"
Pholon,Allied,"Vanguard,Veteran,Unbreakable Pact"
Quinn,Allied,"Bulwark,Cunning"
Silenos,Allied,"Rallier,Medic,Relentless"
Steros,Allied,"Engineer,Siege Breaker"
Tars d’Lyrandar,Allied,"Mage,Veteran,Unbreakable Pact"
Thaddeus Sznukides,Allied,"Mage,Tactician"
Versi the Oracle,Allied,"Divine Blood,Cunning,Unbreakable Pact"
Vytha,Allied,"Brutal,Headhunter"
Agamemnon,Enemy,"Headhunter,Veteran"
Baenor,Enemy,"Vanguard,Brutal"
Bellerophon,Enemy,"Vanguard,Siege Breaker"
Chryses,Enemy,"Zealot,Rallier"
Drakon,Enemy,"Tactician,Ironclad"
Euryale,Enemy,"Terrorizer,Brutal,Siege Breaker"
Hergeron,Enemy,"Divine Blood,Tactician,Terrorizer"
Jorges,Enemy,"Veteran,Bulwark,Ironclad"
Kaelithos,Enemy,"Zealot,Terrorizer"
Kalyka,Enemy,"Headhunter,Medic"
Korteva,Enemy,"Headhunter,Brutal"
Lysandros,Enemy,"Zealot,Fanatic"
Myrrha,Enemy,"Mage,Terrorizer"
Oktar,Enemy,"Engineer,Siege Breaker"
Pelops,Enemy,"Engineer,Tactician"
Phaedrus,Enemy,"Mage,Cunning"
Theron,Enemy,"Terrorizer,Brutal,Fanatic"
Tyrone,Enemy,"Bulwark,Cunning"
Xerxomedes,Enemy,"Bulwark,Warden"
Zelos,Enemy,"Headhunter,Cunning"
