name,faction,vitality,morale,wit
Estoria Centurions,Allied,5,4,3
Estoria Dwarves,Allied,6,3,3
Mithral Centaurs,Allied,3,5,5
Mages of Academy,Allied,2,3,7
Mytros Centurions I,Allied,4,4,4
Mytros Centurions II,Allied,4,4,4
Amazons,Allied,3,6,4
Indigo Barbarians,Allied,4,6,2
Lizardfolk,Allied,6,4,2
Egida Mytros,Allied,7,3,2
Order of Sydon I,Enemy,4,5,3
Order of Sydon II,Enemy,4,5,3
Order of Sydon III,Enemy,4,5,3
Exiles,Enemy,3,3,6
Bronze Automatons I,Enemy,7,2,2
Bronze Automatons II,Enemy,7,2,2
Cyclops,Enemy,8,3,2
Gygans I,Enemy,6,4,3
Gygans II,Enemy,6,4,3
Merrows,Enemy,4,4,5
Hired Yugoloths,Enemy,3,3,6
